title,publishedAt,viewCount,likeCount,commentCount,duration
🎂ⒽⒶⓅⓅⓎ ⒷⒾⓇⓉⒽⒹⒶⓎ ⓉⓄ #RENJUN 🦊💚,2024-03-23T09:00:01Z,60615,23907,875,39
Come over the moonlight up all night | 7llin’ with DREAM | EP. 4,2024-03-22T11:00:32Z,493235,65275,1854,2278
Dirty Smoothie #NCTDREAM,2024-03-21T06:15:56Z,90352,34869,224,21
Dirty Smoothie #RENJUN,2024-03-19T15:15:01Z,329193,33703,1154,56
Dirty Smoothie #HAECHAN,2024-03-19T15:05:00Z,297705,38139,1198,67
Dirty Smoothie #JENO,2024-03-19T15:04:00Z,350518,33635,750,55
Dirty Smoothie #JISUNG,2024-03-19T15:03:00Z,289993,32531,625,57
Dirty Smoothie #JAEMIN,2024-03-19T15:02:00Z,295197,39345,1256,48
Dirty Smoothie #CHENLE,2024-03-19T15:01:03Z,230908,31086,793,51
Dirty Smoothie #MARK,2024-03-19T15:00:11Z,251372,41179,1316,64
NCT DREAM 'DREAM( )SCAPE' Countdown Live,2024-03-19T09:40:01Z,0,4953,0,0
No brake getting faster | 7llin’ with DREAM | EP. 3,2024-03-18T11:00:50Z,704443,76753,1670,1948
( )SCAPE Film : Chapter 5,2024-03-14T15:01:00Z,553610,96187,2721,144
( )SCAPE Film : Chapter 5 #Highlights,2024-03-14T15:00:30Z,207122,38510,189,29
Feel the chemistry | 7llin’ with DREAM | EP. 2,2024-03-14T11:00:02Z,938304,96654,1987,1994
( )SCAPE Film : Chapter 4 #Highlights,2024-03-13T15:00:30Z,190879,42973,366,38
( )SCAPE Film : Chapter 4,2024-03-13T15:00:11Z,469026,82999,2565,112
( )SCAPE Film : Chapter 3,2024-03-12T15:00:50Z,555235,93189,2352,85
( )SCAPE Film : Chapter 3 #Highlights,2024-03-12T15:00:28Z,185461,47704,289,35
( )SCAPE Film : Chapter 2,2024-03-11T15:00:15Z,641373,104018,2906,96
( )SCAPE Film : Chapter 2 #Highlights,2024-03-11T15:00:15Z,174862,41564,288,39
( )SCAPE Film : Chapter 1 #Highlights,2024-03-10T15:00:41Z,278631,55651,532,37
( )SCAPE Film : Chapter 1,2024-03-10T15:00:27Z,676993,120078,4387,136
Rough and tough we play hard | 7llin’ with DREAM | EP. 1,2024-03-10T11:00:01Z,1295566,143996,3754,1384
( )SCAPE Film Teaser,2024-03-07T15:00:49Z,580478,105296,3067,25
ⒿⒿⒿ step🖤#JENO #JAEMIN #JISUNG #트리플제이#NCTDREAM #DREAMxDREAM #드림바이드림,2024-03-04T08:52:38Z,1057548,167800,666,20
💚너마늘 좋아해💚#JENO #JAEMIN #JISUNG #트리플제이#NCTDREAM #DREAMxDREAM #드림바이드림,2024-03-04T08:49:59Z,144799,35146,188,21
✨ta-da✨#JENO #JAEMIN #JISUNG #트리플제이#NCTDREAM #DREAMxDREAM #드림바이드림,2024-03-04T08:45:36Z,560769,122505,582,7
너 마늘🧄 좋아해? 너만을 좋아해…💚 EP.2 | 드림 바이 드림 | DREAM x DREAM,2024-03-03T13:00:45Z,363055,46610,1801,927
🐶🐰🐹트리플 제이의 일일 시즈니 체험💚 EP.1 | 드림 바이 드림 | DREAM x DREAM,2024-03-02T13:00:14Z,693011,84587,2710,1189
준비됐나? 부산 준비됐나?🕺🏻✨ | 써클차트 뮤직 어워즈 챌린지 비하인드,2024-02-04T11:00:15Z,361811,39617,993,662
𝕃𝕠𝕧𝕖𝕝𝕪 🐈🐕♡.•* #JENO #JAEMIN#NCTDREAM #NCT,2024-02-02T03:06:16Z,647339,128927,801,22
˗ˋˏ✌️of 💚 ˎˊ˗ #JENO #JAEMIN #NCTDREAM #NCT,2024-02-02T03:02:12Z,534250,114458,637,9
올해도 우리 쩔어봅시다🔥 | 2023 연말 무대 비하인드,2024-01-25T13:01:00Z,447666,48240,1052,730
여한 없이 후회 없이 해보도록 하겠습니다🤨💪| 2023 iHeartRadio Jingle Ball Tour Behind,2024-01-15T11:00:00Z,331282,35205,656,1126
